Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
KKBSK P17,Chrome 121.0.0.0,,,2024-02-01 13:13:13,2024-02-01 13:15:12,1m - 59.734s,FAILED
,,,,,,,
Test Cases/1. Login,Chrome 121.0.0.0,,,2024-02-01 13:13:13,2024-02-01 13:13:22,8.687s,PASSED
"baseDir = System.getProperty(""user.dir"")",Chrome 121.0.0.0,Get directory project,,2024-02-01 13:13:14,2024-02-01 13:13:14,0.003s,PASSED
"openBrowser(""http://192.168.29.74/login"")",Chrome 121.0.0.0,,,2024-02-01 13:13:14,2024-02-01 13:13:17,3.332s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""1. Skenario 2.1 Login Page"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:13:17,2024-02-01 13:13:18,0.617s,PASSED
"setText(findTestObject(""Object Repository/CMS/Login/input_NIP_username""), username)",Chrome 121.0.0.0,,,2024-02-01 13:13:18,2024-02-01 13:13:18,0.788s,PASSED
"setText(findTestObject(""Object Repository/CMS/Login/input_Password_password""), password)",Chrome 121.0.0.0,,,2024-02-01 13:13:18,2024-02-01 13:13:19,0.695s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""2. Skenario 2.2 Login Page"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:13:19,2024-02-01 13:13:19,0.345s,PASSED
"click(findTestObject(""Object Repository/CMS/Login/button_Login""), STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:13:19,2024-02-01 13:13:22,2.380s,PASSED
,,,,,,,
Test Cases/2. Master Event - Add,Chrome 121.0.0.0,,,2024-02-01 13:13:22,2024-02-01 13:13:40,18.264s,PASSED
"baseDir = System.getProperty(""user.dir"")",Chrome 121.0.0.0,Get directory project,,2024-02-01 13:13:23,2024-02-01 13:13:23,0.000s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.1 Dashboard"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:13:23,2024-02-01 13:13:23,0.507s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/sidebar-dashboard""))",Chrome 121.0.0.0,,,2024-02-01 13:13:23,2024-02-01 13:13:23,0.368s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/span_Master Data""))",Chrome 121.0.0.0,,,2024-02-01 13:13:23,2024-02-01 13:13:24,0.397s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.2 Dashboard - Sidebar"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:13:24,2024-02-01 13:13:24,0.619s,PASSED
"click(findTestObject(""CMS/Page_Dashboard/Master Event""))",Chrome 121.0.0.0,,,2024-02-01 13:13:24,2024-02-01 13:13:26,1.462s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.3 Master Event(Add)"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:13:26,2024-02-01 13:13:26,0.430s,PASSED
"click(findTestObject(""CMS/Page_Master Event/button_Tambah Event""))",Chrome 121.0.0.0,,,2024-02-01 13:13:26,2024-02-01 13:13:27,0.614s,PASSED
"takeScreenshot(baseDir + sspathP17 + ""\"" + matriks + ""\"" + ""Skenario 3.4 Master Event(Add) - Popup"" + "".png"", STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-01 13:13:27,2024-02-01 13:13:28,0.721s,PASSED
"kode_event = getText(findTestObject(""Object Repository/CMS/Page_Master Event/Page_Master Event/Kode_event""))",Chrome 121.0.0.0,,,2024-02-01 13:13:28,2024-02-01 13:13:28,0.492s,PASSED
"println(""nomor VA : "" + kode_event)",Chrome 121.0.0.0,,,2024-02-01 13:13:28,2024-02-01 13:13:28,0.003s,PASSED
"setText(findTestObject(""CMS/Page_Master Event/input_Nama Event_name""), nama_event)",Chrome 121.0.0.0,,,2024-02-01 13:13:28,2024-02-01 13:13:29,0.586s,PASSED
"setText(findTestObject(""CMS/Page_Master Event/input_Lokasi_location""), lokasi)",Chrome 121.0.0.0,,,2024-02-01 13:13:29,2024-02-01 13:13:29,0.647s,PASSED
year = fromYear,Chrome 121.0.0.0,dari tanggal,,2024-02-01 13:13:29,2024-02-01 13:13:29,0.001s,PASSED
month = fromMonth,Chrome 121.0.0.0,,,2024-02-01 13:13:29,2024-02-01 13:13:29,0.000s,PASSED
day = fromDay,Chrome 121.0.0.0,,,2024-02-01 13:13:29,2024-02-01 13:13:29,0.000s,PASSED
yearInt = 2040,Chrome 121.0.0.0,,,2024-02-01 13:13:29,2024-02-01 13:13:29,0.000s,PASSED
date = new java.util.Date(),Chrome 121.0.0.0,,,2024-02-01 13:13:29,2024-02-01 13:13:29,0.007s,PASSED
localDate = systemDefault()).toLocalDate(),Chrome 121.0.0.0,,,2024-02-01 13:13:29,2024-02-01 13:13:29,0.037s,PASSED
currentYear = getYear().toString(),Chrome 121.0.0.0,,,2024-02-01 13:13:29,2024-02-01 13:13:29,0.012s,PASSED
yearDiff = yearInt - localDate.getYear() / 10,Chrome 121.0.0.0,,,2024-02-01 13:13:29,2024-02-01 13:13:30,0.004s,PASSED
"click(findTestObject(""CMS/Page_Master Event/input_Dari Tanggal""))",Chrome 121.0.0.0,,,2024-02-01 13:13:30,2024-02-01 13:13:30,0.596s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Master Event/Page_Master Event/year-and-month-switch""))",Chrome 121.0.0.0,,,2024-02-01 13:13:30,2024-02-01 13:13:31,0.590s,PASSED
"click(findTestObject(""Object Repository/CMS/Page_Master Event/Page_Master Event/year-switch"", [""currentYear"":currentYear]))",Chrome 121.0.0.0,,,2024-02-01 13:13:31,2024-02-01 13:13:31,0.610s,PASSED
while (true),Chrome 121.0.0.0,,,2024-02-01 13:13:31,2024-02-01 13:13:34,2.218s,PASSED
year = toYear,Chrome 121.0.0.0,sampai tanggal,,2024-02-01 13:13:34,2024-02-01 13:13:34,0.001s,PASSED
